Height,Weight
70,168
71,154
67,154
72,146
72,161
72,174
70,163
73,159
70,163
68,143
72,165
70,152
71,154
73,165
70,172
70,148
71,168
69,152
70,159
76,194
78,198
77,198
67,146
69,150
70,148
70,168
73,161
67,179
76,209
67,143
72,176
67,154
74,168
71,172
73,181
69,159
69,150
69,161
74,183
69,154
72,179
69,146
72,176
72,159
70,152
74,170
76,181
72,170
71,183
75,185
76,190
70,152
75,176
74,198
71,172
70,161
76,192
70,174
71,146
70,165
68,150
72,174
66,185
73,185
69,154
70,163
71,163
72,168
71,163
71,159
68,157
70,154
74,176
73,159
72,198
73,181
76,194
68,150
71,187
77,198
72,185
78,183
70,154
71,159
73,201
70,165
69,163
74,187
68,163
76,190
78,203
74,183
74,198
72,170
75,203
73,176
75,198
76,185
69,143
70,148
76,181
66,137
70,159
71,154
75,183
78,201
69,165
70,179
76,174
72,198
76,179
71,152
74,198
75,196
70,161
68,183
71,154
70,141
68,157
72,161
74,183
72,179
73,192
73,168
73,154
75,170
74,172
70,150
73,157
77,172
78,198
71,146
73,185
69,157
63,176
65,139
71,161
71,163
73,163
68,154
74,179
69,176
67,168
72,183
73,161
72,174
67,150
70,163
71,159
77,198
74,154
72,159
70,154
67,154
68,141
71,139
73,170
70,172
71,192
74,170
75,220
73,168
69,152
72,165
76,148
70,159
67,157
75,194
69,148